KEY,en,notes,sp,fr,de,it,pt-br
AREA_UNLOCK_MOON,You can now adventure to The Moon!,,Тепер ви можете вирушити на Місяць!,Vous avez débloqué la Lune&nbsp;!,Du kannst jetzt zum Mond aufbrechen!,Ora puoi avventurarti sulla Luna!,Agora você pode se aventurar na Lua!
AREA_UNLOCK_LAB,You can now adventure to The Lab!,,Тепер ви можете вирушити в Лабораторію!,Vous avez débloqué le Labo&nbsp;!,Du kannst jetzt zum Labor aufbrechen!,Ora puoi avventurarti nel Laboratorio!,Agora você pode se aventurar no Laboratório!
AREA_UNLOCK_ICEAGE,You can now adventure to the past!,,Тепер ви можете вирушити в минуле!,Vous pouvez aller dans le passé&nbsp;!,Du kannst jetzt in die Vergangenheit aufbrechen!,Ora puoi avventurarti nel passato!,Agora você pode se aventurar no passado!
AREA_UNLOCK_JURASSIC,You can now adventure even further into the past!,,Тепер ви можете подорожувати ще далі в минуле!,Vous pouvez aller plus loin dans le passé&nbsp;!,Du kannst jetzt noch weiter in die Vergangenheit aufbrechen!,Ora puoi avventurarti ancora più indietro nel passato!,Agora você pode se aventurar ainda mais longe no passado!
AREA_UNLOCK_FUTURE,You can now adventure to the future!,,Тепер ви можете мандрувати у майбутнє!,Vous pouvez aller dans le futur&nbsp;!,Du kannst jetzt in die Zukunft aufbrechen!,Ora puoi avventurarti nel futuro!,Agora você pode se aventurar no futuro!
AREA_UNLOCK_THEEND,You can now adventure even further into the future!,,Тепер ви можете мандрувати ще далі в майбутнє!,Vous pouvez aller plus loin dans le futur&nbsp;!,Du kannst jetzt noch weiter in die Zukunft aufbrechen!,Ora puoi avventurarti ancora più avanti nel futuro!,Agora você pode se aventurar ainda mais longe no futuro!
AREA_UNLOCK_THERIFT,You can now adventure to The Rift!,,Тепер ви можете мандрувати до Розлому!,Vous avez débloqué la Faille&nbsp;!,Du kannst jetzt in den Riss aufbrechen!,Ora puoi avventurarti nella Fenditura!,Agora você pode se aventurar na Fissura!
AREA_UNLOCK_MEATWORLD,You can now adventure to The Throbbing Domain!,,Тепер ви можете мандрувати до Пульсуючого Володарства!,Vous avez débloqué le Domaine lancinant&nbsp;!,Du kannst jetzt in das Pulsierende Reich aufbrechen!,Ora puoi avventurarti nel Regno Pulsante!,Agora você pode se aventurar no Domínio Pulsante!
AREA_UNLOCK_MEATWORLDFULL,The Throbbing King requests your audience. You now have full access to his domain!,,Пульсуючий Король просить аудієнції. Тепер у вас повний доступ до його володінь!,Le Roi lancinant a accédé à votre requête. Vous avez désormais accès à tout son domaine&nbsp;!,Der Pulsierende König bittet dich um eine Audienz. Du hast jetzt uneingeschränkten Zugang zu seinem Reich!,Il Re Pulsante richiede la tua presenza. Ora hai completo accesso al suo regno!,O Rei Pulsante solicita sua presença. Agora você possui acesso total ao seu domínio!
,,,,,,,
AREA_UNLOCK_ENDOFTIME,The time machine can now travel to The Infinite!,,Машина часу тепер може подорожувати до Нескінченності!,La machine temporelle peut vous mener dans l'Infini&nbsp;!,Die Zeitmaschine kann jetzt in die Unendlichkeit reisen!,La macchina del tempo ora può viaggiare nell'Infinito!,A máquina do tempo agora pode viajar para o Infinito!
,,,,,,,
QUEST_BEGIN_THROBBINGGRISTLE,"""Throbbing Gristle"" found and added to Quest Items!",,"""Throbbing Gristle"" знайдено та додано до предметів квесту!",«&nbsp;Cartilage lancinant&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Pulsierender Knorpel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Cartilagine Pulsante"" e l'hai aggiunta agli oggetti della missione!","A ""cartilagem pulsante"" foi encontrada e adicionada aos seus itens de missão!"
QUEST_BEGIN_PUTRIDLEECH,"""Putrid Leech"" found and added to Quest Items!",,"""Putrid Leech"" знайдено та додано до предметів квесту!",«&nbsp;Sangsue putride&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Verfaulter Blutegel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Sanguisuga Putrida"" e l'hai aggiunta agli oggetti della missione!","A ""sanguessuga pútrida"" foi encontrada e adicionada aos seus itens de missão!"
QUEST_BEGIN_GUILLOTINASHEAD,"""Guillotina's Head"" found and added to Quest Items!",,"""Guillotina's Head"" знайдено та додано до предметів квесту!",«&nbsp;Tête de Guillotina&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Guillotinas Kopf“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Testa di Ghigliottina"" e l'hai aggiunta agli oggetti della missione!","A ""cabeça de Guilhotina"" foi encontrada e adicionada aos seus itens de missão!"
,,,,,,,
QUEST_BEGIN_SCALDINGORB,"""Scalding Orb"" found and added to Quest Items!",,"""Scalding Orb"" знайдено та додано до предметів квесту!",«&nbsp;Orbe brûlant&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Siedende Kugel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Sfera Rovente"" e l'hai aggiunta agli oggetti della missione!","O ""orbe escaldante"" foi encontrado e adicionado aos seus itens de missão!"
QUEST_BEGIN_BLACKSHARD,"""Black Shard"" found and added to Quest Items!",,"""Black Shard"" знайдено та додано до предметів квесту!",«&nbsp;Sombréclat&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Schwarzer Splitter“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato il ""Frammento Nero"" e l'hai aggiunta agli oggetti della missione!","O ""fragmento negro"" foi encontrado e adicionado aos seus itens de missão!"
QUEST_BEGIN_PYROPHINASCOLLAR,"Pyrophina thanks you for helping her defeat Zaratana!
""Pyrophina's Collar"" added to Quest Items!",,"Pyrophina дякує вам за те, що ви допомогли їй перемогти Zaratana!\n""Pyrophina's Collar"" додано до предметів квесту!",Pyrophina vous remercie de l'avoir aidée à vaincre Zaratana&nbsp;! «&nbsp;Collier de Pyrophina&nbsp;» ajouté aux objets de quête&nbsp;!,"Pyrophina dankt dir dafür, dass du ihr geholfen hast, Zaratana zu besiegen!
„Pyrophinas Halsband“ wurde den Questgegenständen hinzugefügt!","Pyrophina ti ringrazia per averla aiutata a sconfiggere Zaratana!
Hai aggiunto il ""Collare di Pyrophina"" agli oggetti della missione!","Pyrophina agradece por você tê-la ajudado a derrotar Zaratana!
A ""coleira de Pyrophina"" foi adicionada aos itens de missão!"
QUEST_BEGIN_ZARATANASCOLLAR,"Zaratana thanks you for helping her defeat Pyrophina!
""Zaratana's Collar"" added to Quest Items!",,"Zaratana дякує вам за те, що ви допомогли їй перемогти Pyrophina!\n""Zaratana's Collar"" додано до предметів квесту!",Zaratana vous remercie de l'avoir aidée à vaincre Pyrophina&nbsp;! «&nbsp;Collier de Zaratana&nbsp;» ajouté aux objets de quête&nbsp;!,"Zaratana dankt dir dafür, dass du ihr geholfen hast, Pyrophina zu besiegen!
„Zaratanas Halsband“ wurde den Questgegenständen hinzugefügt!","Zaratana ti ringrazia per averla aiutata a sconfiggere Pyrophina!
Hai aggiunto il ""Collare di Zaratana"" agli oggetti della missione!","Zaratana agradece por você tê-la ajudado a derrotar Pyrophina!
A ""coleira de Zaratana"" foi adicionada aos itens de missão!"
,,,,,,,
QUEST_BEGIN_COOLER,"""Cryogenic Time Chamber"" added to Quest Items!",,"""Cryogenic Time Chamber"" додано до предметів квесту!",«&nbsp;Cryocapsule temporelle&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Kryogene Zeitkammer“ wurde den Questgegenständen hinzugefügt!,"Hai aggiunto la ""Camera del Tempo Criogenica"" agli oggetti della missione!","A ""câmara criogênica de tempo"" foi adicionada aos itens de missão!"
,,,,,,,
QUEST_BEGIN_RECEIVER,"""Receiver Antenna"" found and added to Quest Items!",,"""Receiver Antenna"" знайдено та додано до предметів квесту!",«&nbsp;Antenne réceptrice&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Empfängerantenne“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato l'oggetto ""Antenna Ricevitrice"" e l'hai aggiunta agli oggetti della missione!","A ""antena receptora"" foi encontrada e adicionada aos itens de missão!"
QUEST_BEGIN_TRANSMITTER,"""Transmitter Antenna"" found and added to Quest Items!",,"""Transmitter Antenna"" знайдено та додано до предметів квесту!",«&nbsp;Antenne émettrice&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Sendeantenne“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato l'oggetto ""Antenna Trasmittente"" e l'hai aggiunta agli oggetti della missione!","A ""antena transmissora"" foi encontrada e adicionada aos itens de missão!"
QUEST_BEGIN_AMPLIFIER,"""Signal Amplifier"" found and added to Quest Items!",,"""Signal Amplifier"" знайдено та додано до предметів квесту!",«&nbsp;Amplificateur de signal&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Signalverstärker“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato l'oggetto ""Amplificatore di Segnale"" e l'hai aggiunto agli oggetti della missione!","O ""amplificador de sinal"" foi encontrado e adicionado aos itens de missão!"
,,,,,,,
QUEST_BEGIN_JAR,"""Jar of Radiation!"" added to Quest Items!",,"""Jar of Radiation!"" додано до предметів квесту!",«&nbsp;Bocal irradié&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Verstrahltes Glas!“ wurde den Questgegenständen hinzugefügt!,"Hai aggiunto il ""Barattolo delle Radiazioni"" agli oggetti della missione!","O ""pote de radiação"" foi adicionado aos itens de missão!"
QUEST_BEGIN_NUKE,"""Nuke"" added to Quest Items!",,"""Nuke"" додано до предметів квесту!",«&nbsp;Ogive&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Atombombe“ wurde den Questgegenständen hinzugefügt!,"Hai aggiunto la ""Bomba Atomica"" agli oggetti della missione!","A ""bomba nuclear"" foi adicionada aos itens de missão!"
,,,,,,,
ABILITY_UNLOCK_FIGHTER,"Fighters can now learn ""Pawbreaker""!",,"Бійці тепер можуть навчитися ""Розтрощувач Лап""!",Les Pugilistes peuvent désormais apprendre «&nbsp;Briseur de patte&nbsp;»&nbsp;!,Krieger können jetzt „Pfotenbrecher“ lernen!,"Ora i guerrieri possono imparare ""Spezzazampa""!","Agora lutadores podem aprender ""Quebra-Patas""!"
ABILITY_UNLOCK_HUNTER,"Hunters can now learn ""Ball of Spiders""!",,"Мисливці тепер можуть навчитися ""Куля Павуків""!",Les Sentinelles peuvent désormais apprendre «&nbsp;Boule d'araignées&nbsp;»&nbsp;!,Jäger können jetzt „Spinnenball“ lernen!,"Ora i cacciatori possono imparare ""Palla di Ragni""!","Agora caçadores podem aprender ""Bola de Aranhas""!"
ABILITY_UNLOCK_MAGE,"Mages can now learn ""Hyper Beam""!",,"Маги тепер можуть навчитися ""Гіперпромінь""!",Les Mages peuvent désormais apprendre «&nbsp;Méga rayon&nbsp;»&nbsp;!,Magier können jetzt „Hyperstrahl“ lernen!,"Ora i maghi possono imparare ""Iper-Raggio""!","Agora magos podem aprender ""Hiper Raio""!"
ABILITY_UNLOCK_MEDIC,"Clerics can now learn ""Ethereal""",,"Клерики тепер можуть навчитися ""Ефірний""",Les Sages peuvent désormais apprendre «&nbsp;Céleste&nbsp;»&nbsp;!,Kleriker können jetzt „Ätherisch“ lernen!,"Ora i chierici possono imparare ""Etereo""!","Agora clérigos podem aprender ""Etéreo""!"
ABILITY_UNLOCK_THIEF,"Thieves can now learn ""Nail Flurry""!",,"Злодії тепер можуть навчитися ""Шквал Кігтів""!",Les Montes-en-l'air peuvent désormais apprendre «&nbsp;Pluie de clous&nbsp;»&nbsp;!,Diebe können jetzt „Nagelfurie“ lernen!,"Ora i ladri possono imparare ""Raffica di Chiodi""!","Agora ladrões podem aprender ""Salva de Pregos""!"
ABILITY_UNLOCK_TANK,"Tanks can now learn ""Suplex""!",,"Танки тепер можуть навчитися ""Суплекс""!",Les Tanks peuvent désormais apprendre «&nbsp;Suplex&nbsp;»&nbsp;!,Tanks können jetzt „Suplex“ lernen!,"Ora i corazzati possono imparare ""Suplex""!","Agora tanques podem aprender ""Suplex""!"
ABILITY_UNLOCK_NECROMANCER,"Necromancers can now learn ""Summon Shade""!",,"Некроманти тепер можуть навчитися ""Виклик Тіні""!",Les Occultistes peuvent désormais apprendre «&nbsp;Invocation d'ombres&nbsp;»&nbsp;!,Totenbeschwörer können jetzt „Schatten beschwören“ lernen!,"Ora i necromanti possono imparare ""Evoca Ombra""!","Agora necromantes podem aprender ""Invocar Sombra""!"
ABILITY_UNLOCK_PSYCHIC,"Psychics can now learn ""Supernova""!",,"Психіки тепер можуть навчитися ""Супернова""!",Les Médiums peuvent désormais apprendre «&nbsp;Supernova&nbsp;»&nbsp;!,Medien können jetzt „Supernova“ lernen!,"Ora gli psionici possono imparare ""Supernova""!","Agora psíquicos podem aprender ""Supernova""!"
ABILITY_UNLOCK_TINKERER,"Tinkerers can now learn ""Mech Suit""!",,"Інженери тепер можуть навчитися ""Мех-костюм""!",Les Scientifiques peuvent désormais apprendre «&nbsp;Costume mécha&nbsp;»&nbsp;!,Bastler können jetzt „Mechanzug“ lernen!,"Ora gli inventori possono imparare ""Tuta per Mech""!","Agora artífices podem aprender ""Traje Mecha""!"
ABILITY_UNLOCK_BUTCHER,"Butchers can now learn ""Slice and Dice""!",,"М'ясники тепер можуть навчитися ""Різати й Кришити""!",Les Barbares peuvent désormais apprendre «&nbsp;Julienne&nbsp;»&nbsp;!,Schlachter können jetzt „Zurechtstutzen“ lernen!,"Ora i macellai possono imparare ""Affettamento""!","Agora açougueiros podem aprender ""Fatiar e Picar""!"
ABILITY_UNLOCK_DRUID,"Druids can now learn ""Summon Bear""!",,"Друїди тепер можуть навчитися ""Виклик Ведмедя""!",Les Druides peuvent désormais apprendre «&nbsp;Invocation d'ours&nbsp;»&nbsp;!,Druiden können jetzt „Bär beschwören“ lernen!,"Ora i druidi possono imparare ""Evoca Orso""!","Agora druidas podem aprender ""Invocar Urso""!"
ABILITY_UNLOCK_MONK,"Monks can now learn ""Hundred Hand Slap""!",,"Монахи тепер можуть навчитися ""Удар Ста Рук""!",Les Moines peuvent désormais apprendre «&nbsp;Gifle de cent mains&nbsp;»&nbsp;!,Mönche können jetzt „Hundert Hände“ lernen!,"Ora i monaci possono imparare ""Schiaffo delle Cento Mani!""","Agora monges podem aprender ""Tapa de Cem Mãos""!"
ABILITY_UNLOCK_COLORLESS,"All cats can now learn ""Metronome""!",,"Усі коти тепер можуть навчитися ""Метроном""!",Tous les chats peuvent désormais apprendre «&nbsp;Métronome&nbsp;»&nbsp;!,Alle Katzen können jetzt „Metronom“ lernen!,"Ora tutti i gatti possono imparare ""Metronomo""!","Agora todos os gatos podem aprender ""Metrônomo""!"
ABILITY_UNLOCK_JESTER,Jesters have some more tricks up their sleeves!,,У блазнів ще кілька трюків у рукаві!,Les Jokers ont encore plus de tours dans leur sac&nbsp;!,Narren haben jetzt neue Kunststücke im Repertoire!,I giullari hanno qualche altro asso nella manica!,Agora curingas possuem mais truques na manga!
,,,,,,,
PASSIVE_UNLOCK_FIGHTER,"Fighters can now learn ""Dual Wield""!",,"Бійці тепер можуть навчитися ""Володіння Двома Зброями""!",Les Pugilistes peuvent désormais apprendre «&nbsp;Coup double&nbsp;»&nbsp;!,Krieger können jetzt „Doppelwaffen“ lernen!,"Ora i guerrieri possono imparare ""Doppia Impugnatura""!","Agora lutadores podem aprender ""Empunhadura Dupla""!"
PASSIVE_UNLOCK_HUNTER,"Hunters can now learn ""Thrill of the Hunt""!",,"Мисливці тепер можуть навчитися ""Азарт Полювання""!",Les Sentinelles peuvent désormais apprendre «&nbsp;Frisson de la chasse&nbsp;»&nbsp;!,Jäger können jetzt „Jagdrausch“ lernen!,"Ora i cacciatori possono imparare ""Brivido della Caccia""!","Agora caçadores podem aprender ""Emoção da Caçada""!"
PASSIVE_UNLOCK_MAGE,"Mages can now learn ""Three""!",,"Маги тепер можуть навчитися ""Три""!",Les Mages peuvent désormais apprendre «&nbsp;Trois&nbsp;»&nbsp;!,Magier können jetzt „Drei“ lernen!,"Ora i maghi possono imparare ""Tre""!","Agora magos podem aprender ""Três""!"
PASSIVE_UNLOCK_MEDIC,"Clerics can now learn ""Evil Patron""!",,"Клерики тепер можуть навчитися ""Злий Покровитель""!",Les Sages peuvent désormais apprendre «&nbsp;Divinité maléfique&nbsp;»&nbsp;!,Kleriker können jetzt „Bösartiger Schutzpatron“ lernen!,"Ora i chierici possono imparare ""Mecenate Crudele""!","Agora clérigos podem aprender ""Patrono Maligno""!"
PASSIVE_UNLOCK_THIEF,"Thieves can now learn ""First Strike""!",,"Злодії тепер можуть навчитися ""Перший Удар""!",Les Montes-en-l'air peuvent désormais apprendre «&nbsp;Premier assaut&nbsp;»&nbsp;!,Diebe können jetzt „Erstschlag“ lernen!,"Ora i ladri possono imparare ""Primo Colpo""!","Agora ladrões podem aprender ""Primeiro Ataque""!"
PASSIVE_UNLOCK_TANK,"Tanks can now learn ""Bouncer""!",,"Танки тепер можуть навчитися ""Відскок""!",Les Tanks peuvent désormais apprendre «&nbsp;Garde du corps&nbsp;»&nbsp;!,Tanks können jetzt „Türsteher“ lernen!,"Ora i corazzati possono imparare ""Rimbalzo""!","Agora tanques podem aprender ""Segurança""!"
PASSIVE_UNLOCK_NECROMANCER,"Necromancers can now learn ""Servus Mortem""!",,"Некроманти тепер можуть вивчити ""Servus Mortem""!",Les Occultistes peuvent désormais apprendre «&nbsp;Servus Mortem&nbsp;»&nbsp;!,Totenbeschwörer können jetzt „Servus Mortem“ lernen!,"Ora i necromanti possono imparare ""Servus Mortem""!","Agora necromantes podem aprender ""Servus Mortem""!"
PASSIVE_UNLOCK_PSYCHIC,"Psychics can now learn ""Gravity Well""!",,"Психіки тепер можуть вивчити ""Gravity Well""!",Les Médiums peuvent désormais apprendre «&nbsp;Puits de gravité&nbsp;»&nbsp;!,Medien können jetzt „Gravitationsbrunnen“ lernen!,"Ora gli psionici possono imparare ""Pozzo Gravitazionale""!","Agora psíquicos podem aprender ""Poço de Gravidade""!"
PASSIVE_UNLOCK_TINKERER,"Tinkerers can now learn ""Armor Specialist""!",,"Майструни тепер можуть вивчити ""Armor Specialist""!",Les Scientifiques peuvent désormais apprendre «&nbsp;Spécialiste des armures&nbsp;»&nbsp;!,Bastler können jetzt „Rüstungsspezialist“ lernen!,"Ora gli inventori possono imparare ""Specialista delle Armature""!","Agora artífices podem aprender ""Especialista em Armaduras""!"
PASSIVE_UNLOCK_BUTCHER,"Butchers can now learn ""Indigestion""!",,"М'ясники тепер можуть вивчити ""Indigestion""!",Les Barbares peuvent désormais apprendre «&nbsp;Indigestion&nbsp;»&nbsp;!,Schlachter können jetzt „Magenverstimmung“ lernen!,"Ora i macellai possono imparare ""Indigestione""!","Agora açougueiros podem aprender ""Indigestão""!"
PASSIVE_UNLOCK_DRUID,"Druids can now learn ""Suicide Squad""!",,"Друїди тепер можуть вивчити ""Suicide Squad""!",Les Druides peuvent désormais apprendre «&nbsp;Suicide Squad&nbsp;»&nbsp;!,Druiden können jetzt „Selbstmordkommando“ lernen!,"Ora i druidi possono imparare ""Squadra Suicida""!","Agora druidas podem aprender ""Esquadrão Suicida""!"
PASSIVE_UNLOCK_MONK,"Monks can now learn ""Unstoppable""!",,"Монахи тепер можуть вивчити ""Unstoppable""!",Les Moines peuvent désormais apprendre «&nbsp;Inarrêtable&nbsp;»&nbsp;!,Mönche können jetzt „Unaufhaltsam“ lernen!,"Ora i monaci possono imparare ""Inarrestabile""!","Agora monges podem aprender ""Imparável""!"
PASSIVE_UNLOCK_COLORLESS,"All cats can now learn ""Skill Share""!",,"Усі коти тепер можуть вивчити ""Skill Share""!",Tous les chats peuvent désormais apprendre «&nbsp;Partage de compétences&nbsp;»&nbsp;!,Alle Katzen können jetzt „Fähigkeiten teilen“ lernen!,"Ora tuti i gatti possono imparare ""Condivisione delle Abilità""!","Agora todos os gatos podem aprender ""Compartilhar Habilidade""!"
PASSIVE_UNLOCK_JESTER,Jesters have some more tricks up their sleeves!,,У блазнів тепер є ще кілька трюків у рукавах!,Les Jokers ont encore plus de tours dans leur sac&nbsp;!,Narren haben jetzt neue Kunststücke im Repertoire!,I giullari hanno qualche altro asso nella manica!,Agora curingas possuem mais truques na manga!
,,,,,,,
ABILITY_UNLOCK_FIGHTER_COLORLESS,"All cats can now learn ""Path of the Fighter""!",,"Усі коти тепер можуть вивчити ""Шлях Воїна""!",Tous les chats peuvent désormais apprendre «&nbsp;Voie des Pugilistes&nbsp;»&nbsp;!,Alle Katzen können jetzt „Der Weg des Kriegers“ lernen!,"Ora tutti i gatti possono imparare ""Percorso del Guerriero""!","Agora todos os gatos podem aprender o ""Caminho do Lutador""!"
ABILITY_UNLOCK_HUNTER_COLORLESS,"All cats can now learn ""Path of the Hunter""!",,"Усі коти тепер можуть вивчити ""Шлях Мисливця""!",Tous les chats peuvent désormais apprendre «&nbsp;Voies des Sentinelles&nbsp;»&nbsp;!,Alle Katzen können jetzt „Der Weg des Jägers“ lernen!,"Ora tutti i gatti possono imparare ""Percorso del Cacciatore""!","Agora todos os gatos podem aprender o ""Caminho do Caçador""!"
ABILITY_UNLOCK_MAGE_COLORLESS,"All cats can now learn ""Path of the Mage""!",,"Усі коти тепер можуть вивчити ""Шлях Мага""!",Tous les chats peuvent désormais apprendre «&nbsp;Voie des Mages&nbsp;»&nbsp;!,Alle Katzen können jetzt „Der Weg des Magiers“ lernen!,"Ora tutti i gatti possono imparare ""Percorso del Mago""!","Agora todos os gatos podem aprender o ""Caminho do Mago""!"
ABILITY_UNLOCK_MEDIC_COLORLESS,"All cats can now learn ""Path of the Cleric""!",,"Усі коти тепер можуть вивчити ""Шлях Клірика""!",Tous les chats peuvent désormais apprendre «&nbsp;Voie des Sages&nbsp;»&nbsp;!,Alle Katzen können jetzt „Der Weg des Klerikers“ lernen!,"Ora tutti i gatti possono imparare ""Percorso del Chierico""!","Agora todos os gatos podem aprender o ""Caminho do Clérigo""!"
ABILITY_UNLOCK_THIEF_COLORLESS,"All cats can now learn ""Path of the Thief""!",,"Усі коти тепер можуть вивчити ""Шлях Злодія""!",Tous les chats peuvent désormais apprendre «&nbsp;Voie des Fourbes&nbsp;»&nbsp;!,Alle Katzen können jetzt „Der Weg des Diebes“ lernen!,"Ora tutti i gatti possono imparare ""Percorso del Ladro""!","Agora todos os gatos podem aprender o ""Caminho do Ladrão""!"
